State/Parent NTD ID,NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,DRM Transit Exclusive and Shared Use ROW,DRM Mixed Traffic ROW,Non-Statutory Mixed Traffic
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Weekday,0:00:00,0:00:00,,,,327,33726,28450,5276,,2275,1976,299,,,,,,,,,2994,,,30307,255,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Saturday,0:00:00,0:00:00,,,,167,15749,13160,2589,,2399,2072,327,,,,,,,,,1283,,,11666,52,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Average Typical Sunday,0:00:00,0:00:00,,,,125,11932,9873,2059,,1815,1560,255,,,,,,,,,993,,,9535,58,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DR,PT,Annual Total,,,327,490,,,10111164,8511613,1599551,,810225,702176,108049,,,,,,,,,887915,887915,,8887848,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Typical Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Typical Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Average Typical Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,DT,PT,Annual Total,,,89,89,,,,2052404,,,,67214,,,,,,,,,,177791,177791,,2398907,365,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - AM Peak,5:30:00,9:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Midday,9:15:00,15:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - PM Peak,15:15:00,19:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,King County Department of Metro Transit,Full Reporter,,Urban,FB,DO,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
