UACE CD,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
40,Oklahoma Non-UZA,,14968885,980317,0,1837063,"$44,991,079.00 ",0,0,0,$0.00 ,2624685,0,"$10,014,638.00 ",0,0,0,0
41,Oregon Non-UZA,,10996627,591059,3393706,2001670,"$53,201,225.00 ",0,0,0,$0.00 ,3071930,3393706,"$15,969,075.00 ",0,0,0,0
42,Pennsylvania Non-UZA,,19014057,1010085,11919002,3407777,"$89,544,807.00 ",0,0,0,$0.00 ,9270415,11919002,"$41,461,203.00 ",0,0,0,0
44,Rhode Island Non-UZA,,204113,7680,638182,28464,"$2,011,008.00 ",0,0,0,$0.00 ,204113,638182,"$2,011,008.00 ",0,0,0,0
45,South Carolina Non-UZA,,7472058,349416,2670364,938780,"$22,555,590.00 ",0,0,0,$0.00 ,3321278,2670364,"$13,463,492.00 ",0,0,0,0
46,South Dakota Non-UZA,,5467177,367640,0,1186905,"$20,632,614.00 ",0,0,0,$0.00 ,1336475,0,"$4,375,988.00 ",0,0,0,0
47,Tennessee Non-UZA,,15970081,873993,1452666,3938597,"$53,318,423.00 ",0,0,0,$0.00 ,7371375,1452666,"$23,647,688.00 ",0,0,0,0
48,Texas Non-UZA,,23798371,1105249,6758849,2684656,"$87,725,892.00 ",0,0,0,$0.00 ,11753363,6758849,"$40,497,055.00 ",0,0,0,0
49,Utah Non-UZA,,6987304,421988,12156176,3198226,"$36,680,127.00 ",0,0,0,$0.00 ,2546997,12156176,"$14,000,648.00 ",0,0,0,0
50,Vermont Non-UZA,,13436703,555213,2458241,2016486,"$36,888,537.00 ",0,0,0,$0.00 ,1892642,2458241,"$7,123,728.00 ",0,0,0,0
51,Virginia Non-UZA,,9099240,513835,4932074,2059743,"$35,761,988.00 ",0,0,0,$0.00 ,3111968,4932074,"$15,280,403.00 ",0,0,0,0
53,Washington Non-UZA,,15801789,787334,47436884,10467850,"$201,727,093.00 ",98,267200,45233719,"$102,404,196.00 ",2293275,2203165,"$15,172,690.00 ",97.8,267200,0,0
54,West Virginia Non-UZA,,4550813,263021,0,823382,"$17,268,290.00 ",0,0,0,$0.00 ,46916,0,"$181,884.00 ",0,0,0,0
55,Wisconsin Non-UZA,,11177179,850622,576122,2373342,"$37,067,016.00 ",0,0,0,$0.00 ,2523229,576122,"$10,313,079.00 ",0,0,0,0
56,Wyoming Non-UZA,,2407793,179802,0,1198313,"$12,856,130.00 ",0,0,0,$0.00 ,72150,0,"$194,499.00 ",0,0,0,0
60,American Samoa Non-UZA,,196729,22566,0,32229,"$1,005,200.00 ",0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,0
66,Guam Non-UZA,,120176,8903,0,6417,"$547,284.00 ",0,0,0,$0.00 ,120176,0,"$547,284.00 ",0,0,0,0
69,Commonwealth of the Northern Marianas Non-UZA,,327650,13820,0,19626,"$1,710,908.00 ",0,0,0,$0.00 ,0,0,$0.00 ,0,0,0,0
72,Puerto Rico Non-UZA,,905200,72292,13001371,1431147,"$40,981,906.00 ",60,186123,10554376,"$37,093,195.00 ",599776,2446995,"$3,551,274.00 ",9.8,30340,0,0
78,"Virgin Islands, VI",,793500,64183,0,186082,"$5,632,344.00 ",0,0,0,$0.00 ,793500,0,"$5,632,344.00 ",0,0,0,0
63217,"New York--Jersey City--Newark, NY--NJ",19426449,779102863,54118551,13647542583,2746122077,"$15,832,417,000.00 ",2417,518514573,11040747356,"$10,093,149,598.00 ",260588290,2606795227,"$5,739,267,402.00 ",2322.9,515770137,139.3,6487339
51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,206911442,15367382,1471484929,352876967,"$2,980,264,806.00 ",639,27754735,450322345,"$767,840,607.00 ",179156707,1021162584,"$2,212,424,199.00 ",636.9,27628802,169,2306841
16264,"Chicago, IL--IN",8671746,202207787,13396204,1641610632,285785949,"$2,673,895,864.00 ",1296,107497631,1168129664,"$1,490,270,360.00 ",94710156,473480968,"$1,183,625,504.00 ",1226.5,107280636,0,0
56602,"Miami--Fort Lauderdale, FL",6077522,93005600,6233213,530438725,87701485,"$1,014,876,451.00 ",242,14057491,187924869,"$286,037,435.00 ",78948109,342513856,"$728,839,016.00 ",241.9,14057491,0,0
40429,"Houston, TX",5853575,61394457,4284827,357209518,57706987,"$671,978,864.00 ",53,3237143,34034515,"$107,531,901.00 ",58157314,323175003,"$564,446,963.00 ",41.8,2175256,163.2,1988220
22042,"Dallas--Fort Worth--Arlington, TX",5732354,59089759,3835463,297744671,47371489,"$699,921,516.00 ",315,13575919,165326480,"$275,060,246.00 ",45513840,132418191,"$424,861,270.00 ",262.4,11155190,31,261621
69076,"Philadelphia, PA--NJ--DE--MD",5696125,110793485,8276124,871160082,198854649,"$1,710,884,213.00 ",773,39593090,538019295,"$702,456,541.00 ",71200395,333140787,"$1,008,427,672.00 ",773.3,39593090,0,0
92242,"Washington--Arlington, DC--VA--MD",5174759,162299660,11071935,923626106,191790162,"$2,906,871,088.00 ",680,59196193,473811107,"$1,421,680,862.00 ",103103467,449814999,"$1,485,190,226.00 ",679.5,59196193,85.8,1005382
