UACE CD,UZA,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
,0,Alabama Non-UZA,,4040033,218577,1753963,756866,16247591,0,0,0,0,4040033,1753963,16247591,0,0,0,0
,0,Alaska Non-UZA,,3238679,173833,17709756,882940,60452203,914.8,784483,17709756,38731620,2454196,0,21720583,914.8,784483,0,0
,0,American Samoa Non-UZA,,195644,17669,0,31442,1385042,0,0,0,0,195644,0,1385042,0,0,0,0
,0,Arizona Non-UZA,,5011265,265313,4551852,1087764,22401497,0,0,0,0,5011265,4551852,22401497,0,0,0,0
,0,Arkansas Non-UZA,,9976545,499868,0,746845,24074562,0,0,0,0,9976545,0,24074562,0,0,0,0
,0,California Non-UZA,,22114137,1259189,20391491,5432908,175384546,0,0,0,0,22114137,20391491,175384546,0,0,0,0
,0,Colorado Non-UZA,,18565418,1227000,148789,13111310,108374799,0,0,0,0,18565418,148789,108374799,0,0,0,0
,0,Connecticut Non-UZA,,1002712,64559,601320,234791,6407644,0,0,0,0,1002712,601320,6407644,0,0,0,0
,0,Delaware Non-UZA,,2955926,175859,10166712,785402,34248115,16.9,33454,5653560,10916916,2922472,4513152,23331199,0,0,0,0
,0,Florida Non-UZA,,14439742,815172,15269835,3448716,64617686,0,0,0,0,14439742,15269835,64617686,0,0,0,0
,0,Georgia Non-UZA,,9271804,566307,0,775505,30758084,0,0,0,0,9271804,0,30758084,0,0,0,0
,0,Guam Non-UZA,,613712,45876,0,72547,2406955,0,0,0,0,613712,0,2406955,0,0,0,0
,0,Hawaii Non-UZA,,3781944,212235,2392247,1089194,28912458,0,0,0,0,3781944,2392247,28912458,0,0,0,0
,0,Idaho Non-UZA,,3537744,159931,2034528,824856,12312252,0,0,0,0,3537744,2034528,12312252,0,0,0,0
,0,Illinois Non-UZA,,14475773,758156,3367421,2082450,65126309,0,0,0,0,14475773,3367421,65126309,0,0,0,0
,0,Indiana Non-UZA,,8555173,558938,252126,1291649,29084439,0,0,0,0,8555173,252126,29084439,0,0,0,0
,0,Iowa Non-UZA,,10341487,707129,270678,1879309,42147012,0,0,0,0,10341487,270678,42147012,0,0,0,0
,0,Kansas Non-UZA,,5883722,378644,0,1018550,19850308,0,0,0,0,5883722,0,19850308,0,0,0,0
,0,Kentucky Non-UZA,,17757526,1259526,864696,1315110,75231480,0,0,0,0,17757526,864696,75231480,0,0,0,0
,0,Louisiana Non-UZA,,3382395,215249,213487,264718,12076137,1,1157,17617,247327,3381238,195870,11828810,1,1157,0,0
,0,Maine Non-UZA,,7623488,337335,2243168,1234974,50289760,38.4,241008,1779573,4473777,7382480,463595,45815983,38.4,241008,0,0
,0,Maryland Non-UZA,,4519899,288793,5069319,1613114,19752359,0,0,0,0,4519899,5069319,19752359,0,0,0,0
,0,Massachusetts Non-UZA,,2704532,176329,1924828,1172365,19442547,0,0,0,0,2704532,1924828,19442547,0,0,0,0
,0,Michigan Non-UZA,,23997297,1483455,3833566,4524646,101720747,0,0,0,0,23997297,3833566,101720747,0,0,0,0
,0,Minnesota Non-UZA,,12107866,849280,437379,2321445,58867502,0,0,0,0,12107866,437379,58867502,0,0,0,0
,0,Mississippi Non-UZA,,9247856,452458,197239,1022220,27618737,0,0,0,0,9247856,197239,27618737,0,0,0,0
,0,Missouri Non-UZA,,15004012,860113,0,1394831,37779940,0,0,0,0,15004012,0,37779940,0,0,0,0
,0,Montana Non-UZA,,3676426,235118,0,740413,18938849,0,0,0,0,3676426,0,18938849,0,0,0,0
,0,Nebraska Non-UZA,,3596248,202092,1081129,492810,14593898,0,0,0,0,3596248,1081129,14593898,0,0,0,0
,0,Nevada Non-UZA,,1830190,102388,840444,397306,9730936,0,0,0,0,1830190,840444,9730936,0,0,0,0
,0,New Hampshire Non-UZA,,1132961,83598,78558,593928,9416734,0,0,0,0,1132961,78558,9416734,0,0,0,0
,0,New Jersey Non-UZA,,2077873,113467,10935682,714215,30093975,42,576525,10744420,21830139,1501348,191262,8263836,25.1,543070,0,0
,0,New Mexico Non-UZA,,4220273,224477,2341526,562477,21547996,0,0,0,0,4220273,2341526,21547996,0,0,0,0
,0,New York Non-UZA,,13336170,712133,18426392,3282921,96986719,85.1,1499072,14052170,30123590,11837098,4374222,66863129,85.1,1499072,0,0
,0,North Carolina Non-UZA,,23169767,1303131,184982,2314617,66030699,0,0,0,0,23169767,184982,66030699,0,0,0,0
,0,North Dakota Non-UZA,,3019207,207688,0,414359,12280384,0,0,0,0,3019207,0,12280384,0,0,0,0
,0,Northern Marianas Non-UZA,,271531,10556,0,15081,1646046,0,0,0,0,271531,0,1646046,0,0,0,0
,0,Ohio Non-UZA,,14736172,796739,125349,1909253,55165886,0,0,0,0,14736172,125349,55165886,0,0,0,0
,0,Oklahoma Non-UZA,,13773609,954349,0,1747168,42882764,0,0,0,0,13773609,0,42882764,0,0,0,0
,0,Oregon Non-UZA,,10784221,564494,2200789,1778961,46773843,0,0,0,0,10784221,2200789,46773843,0,0,0,0
,0,Pennsylvania Non-UZA,,14758717,808092,4523501,2437513,68429638,0,0,0,0,14758717,4523501,68429638,0,0,0,0
,0,Puerto Rico Non-UZA,,718431,57360,1734949,759791,37270270,60.1,65086,0,35148322,653345,1734949,2121948,9.8,0,0,0
,0,Rhode Island Non-UZA,,212736,7562,453382,22429,2226089,0,0,0,0,212736,453382,2226089,0,0,0,0
,0,South Carolina Non-UZA,,7263990,332529,1598409,952642,22328499,0,0,0,0,7263990,1598409,22328499,0,0,0,0
,0,South Dakota Non-UZA,,4400213,311277,0,969107,18794751,0,0,0,0,4400213,0,18794751,0,0,0,0
,0,Tennessee Non-UZA,,16111490,925523,1169546,3232772,50519230,0,0,0,0,16111490,1169546,50519230,0,0,0,0
,0,Texas Non-UZA,,23379982,1102099,4993770,2380842,85274790,0,0,0,0,23379982,4993770,85274790,0,0,0,0
,0,Utah Non-UZA,,3537199,170285,7166951,1582180,21782228,0,0,0,0,3537199,7166951,21782228,0,0,0,0
,0,Vermont Non-UZA,,12085151,449826,1727988,1133027,31444721,0,0,0,0,12085151,1727988,31444721,0,0,0,0
,0,Virginia Non-UZA,,8115117,455622,4388700,1574426,32052338,0,0,0,0,8115117,4388700,32052338,0,0,0,0
,0,Washington Non-UZA,,15083592,768338,35645233,7953142,170271683,97.8,239975,33575732,83845521,14843617,2069501,86426162,97.8,239975,0,0
,0,West Virginia Non-UZA,,4152849,242785,0,680210,15550767,0,0,0,0,4152849,0,15550767,0,0,0,0
,0,Wisconsin Non-UZA,,10145280,801410,95396,1982620,34839023,0,0,0,0,10145280,95396,34839023,0,0,0,0
,0,Wyoming Non-UZA,,2552901,204474,0,871387,10813758,0,0,0,0,2552901,0,10813758,0,0,0,0
,1,"New York-Newark, NY-NJ-CT",18351295,752541804,50572869,10373745452,2061952232,14770343826,2435.3,498850438,8402988668,9386456358,253691366,1970756784,5383887468,2319.7,494845275,136.2,5852950
,2,"Los Angeles-Long Beach-Anaheim, CA",12150996,189200543,13622869,1088209251,263738394,2764439179,653.9,26830440,332997803,740461366,162370103,755211448,2023977813,616.3,24177524,267.5,2068095
,3,"Chicago, IL-IN",8608208,205577943,13838709,1241638588,226792480,2626199675,1338.6,108427755,838350235,1434123602,97150188,403288353,1192076073,1259,108211894,0,0
,4,"Miami, FL",5502379,90877306,6303156,449832788,75909406,939636987,241.9,10723032,139426948,261007036,80154274,310405840,678629951,241.9,10723032,0,0
,5,"Philadelphia, PA-NJ-DE-MD",5441567,103743516,7973827,572766391,124278575,1608803928,781.3,37294118,286338156,662969537,66449398,286428235,945834391,781.3,37294118,0,0
,6,"Dallas-Fort Worth-Arlington, TX",5121892,58355744,3863041,254038641,40398241,666599373,314.5,12855730,139676602,261628504,45500014,114362039,404970869,262.4,10461374,31,323219
,7,"Houston, TX",4944332,55779661,3952334,257545371,45268138,568115637,53.1,3008102,25663633,92670658,52771559,231881738,475444979,41.8,2099418,163.2,1160172
,8,"Washington, DC-VA-MD",4586770,159240818,10350459,513561125,112775309,2773610664,675.9,77322732,227314939,1440341207,81918086,286246186,1333269457,658.7,77074032,84.8,775121
,9,"Atlanta, GA",4515419,60167214,3725901,283600528,49117953,586677860,99,17277587,125171153,221777757,42889627,158429375,364900103,99,17277587,91.3,1149262
,10,"Boston, MA-NH-RI",4181019,90886108,6637364,509654066,124912344,1654917185,962.2,50230136,359456690,980880934,40655972,150197376,674036251,908.7,49707891,1.6,14110
,11,"Detroit, MI",3734090,24101635,1600283,89329620,12173107,198227731,9,1478,8210,16504087,24100157,89321410,181723644,2.9,0,0,0
,12,"Phoenix-Mesa, AZ",3629114,44007389,3374686,220304869,51226901,371274419,54.5,2976448,45129115,55153154,41030941,175175754,316121265,44.2,2416998,249.6,564829
,13,"San Francisco-Oakland, CA",3281212,93828512,6652715,452959298,104026156,2092147144,769.5,43702854,229812469,948234827,50125658,223146829,1143912317,699.2,40367138,22.5,197210
,14,"Seattle, WA",3059393,82474143,6160185,542203797,92708318,1550439548,507.3,12319531,206604743,541698396,70154612,335599054,1008741152,443.6,9611291,233.4,9830482
,15,"San Diego, CA",2956746,50792043,3262505,287346745,44198627,402307444,273.1,12236387,138130892,155091647,38555656,149215853,247215797,268.1,12135515,0.1,2580
