UACE CD,UZA,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
,0,Alabama Non-UZA,,4010498,243657,1125830,801505,14724457,0,0,0,0,4010498,1125830,14724457,0,0,0,0
,0,Alaska Non-UZA,,3075435,168719,3713205,1471618,55912872,914.8,495140,3713205,36408034,2580295,0,19504838,914.8,495140,0,0
,0,American Samoa Non-UZA,,174934,14543,0,24117,1201465,0,0,0,0,174934,0,1201465,0,0,0,0
,0,Arizona Non-UZA,,4842601,262974,6540047,1516153,19083752,0,0,0,0,4842601,6540047,19083752,0,0,0,0
,0,Arkansas Non-UZA,,11196978,585879,0,821820,23165090,0,0,0,0,11196978,0,23165090,0,0,0,0
,0,California Non-UZA,,25303040,1399398,34091220,9742794,163437917,0,0,0,0,25303040,34091220,163437917,0,0,0,0
,0,Colorado Non-UZA,,15832525,1023987,166880,12320996,97915599,0,0,0,0,15832525,166880,97915599,0,0,0,0
,0,Connecticut Non-UZA,,1395676,92161,1638473,590737,7295055,0,0,0,0,1395676,1638473,7295055,0,0,0,0
,0,Delaware Non-UZA,,3134788,182165,5178644,554198,22671422,0,0,0,0,3134788,5178644,22671422,0,0,0,0
,0,Florida Non-UZA,,15396217,871239,19912736,4459790,60607793,0,0,0,0,15396217,19912736,60607793,0,0,0,0
,0,Georgia Non-UZA,,13161404,777373,0,1178676,31858451,0,0,0,0,13161404,0,31858451,0,0,0,0
,0,Guam Non-UZA,,796056,48579,0,93940,3225287,0,0,0,0,796056,0,3225287,0,0,0,0
,0,Hawaii Non-UZA,,4336353,219289,3943013,1788071,25826548,0,0,0,0,4336353,3943013,25826548,0,0,0,0
,0,Idaho Non-UZA,,3207861,150078,2339373,1061145,10716885,0,0,0,0,3207861,2339373,10716885,0,0,0,0
,0,Illinois Non-UZA,,18474142,958638,6353306,3130252,62379795,0,0,0,0,18474142,6353306,62379795,0,0,0,0
,0,Indiana Non-UZA,,8241947,537037,271466,1192022,27041700,0,0,0,0,8241947,271466,27041700,0,0,0,0
,0,Iowa Non-UZA,,12926265,940016,1472932,3072793,50995387,0,0,0,0,12926265,1472932,50995387,0,0,0,0
,0,Kansas Non-UZA,,6285369,382482,9213,1271143,19732035,0,0,0,0,6285369,9213,19732035,0,0,0,0
,0,Kentucky Non-UZA,,22959454,1493050,1635165,2272940,56154472,0,0,0,0,22959454,1635165,56154472,0,0,0,0
,0,Louisiana Non-UZA,,4534596,271846,187284,447091,12868866,1,1291,19840,252579,4533305,167444,12616287,1,1291,0,0
,0,Maine Non-UZA,,8612426,381348,1067067,2027251,45169057,7.5,18439,532867,1793183,8593987,534200,43375874,7.5,18439,0,0
,0,Maryland Non-UZA,,5430412,346431,5465886,2862754,22320084,0,0,0,0,5430412,5465886,22320084,0,0,0,0
,0,Massachusetts Non-UZA,,2988516,195198,4096507,2129069,18993729,0,0,0,0,2988516,4096507,18993729,0,0,0,0
,0,Michigan Non-UZA,,24029718,1455430,4528875,5148758,101940001,0,0,0,0,24029718,4528875,101940001,0,0,0,0
,0,Minnesota Non-UZA,,12771039,867043,383022,3198700,60111078,0,0,0,0,12771039,383022,60111078,0,0,0,0
,0,Mississippi Non-UZA,,8870904,424172,433554,1748066,26197282,0,0,0,0,8870904,433554,26197282,0,0,0,0
,0,Missouri Non-UZA,,15433162,979449,0,1897824,40603561,0,0,0,0,15433162,0,40603561,0,0,0,0
,0,Montana Non-UZA,,3941992,243822,0,1166555,17082331,0,0,0,0,3941992,0,17082331,0,0,0,0
,0,Nebraska Non-UZA,,3425065,203193,0,569881,11457376,0,0,0,0,3425065,0,11457376,0,0,0,0
,0,Nevada Non-UZA,,1709018,93947,973438,432502,8809112,0,0,0,0,1709018,973438,8809112,0,0,0,0
,0,New Hampshire Non-UZA,,1215275,103530,94101,1148855,7558100,0,0,0,0,1215275,94101,7558100,0,0,0,0
,0,New Jersey Non-UZA,,1612275,97940,155352,279365,8716354,0,0,0,0,1612275,155352,8716354,0,0,0,0
,0,New Mexico Non-UZA,,4887876,256570,3256258,1018251,21315485,0,0,0,0,4887876,3256258,21315485,0,0,0,0
,0,New York Non-UZA,,11997701,656853,4810205,3517520,60316859,0,0,0,0,11997701,4810205,60316859,0,0,0,0
,0,North Carolina Non-UZA,,27855343,1543773,656548,4361555,69440618,0,0,0,0,27855343,656548,69440618,0,0,0,0
,0,North Dakota Non-UZA,,2923613,216179,0,510803,11880197,0,0,0,0,2923613,0,11880197,0,0,0,0
,0,Northern Marianas Non-UZA,,194435,5618,0,10385,1005424,0,0,0,0,194435,0,1005424,0,0,0,0
,0,Ohio Non-UZA,,11362277,661942,136843,1647161,48290217,0,0,0,0,11362277,136843,48290217,0,0,0,0
,0,Oklahoma Non-UZA,,14541043,1007771,0,2095594,40148122,0,0,0,0,14541043,0,40148122,0,0,0,0
,0,Oregon Non-UZA,,10511770,567992,4230243,2557001,41506472,0,0,0,0,10511770,4230243,41506472,0,0,0,0
,0,Pennsylvania Non-UZA,,18015727,979917,8154885,3622360,71992207,0,0,0,0,18015727,8154885,71992207,0,0,0,0
